source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
american,american,True,2.0,"AA1476, AA3195",business,1,CLT,"AA, AA",0,False,True,00:27,11:13,466,105000,5.6,USD,5.6,cache:2026-06-11,2100.0,2105.6,50.0,38.83,100.0,0,0.0,2294.43,False,858.8,"default_cpp, not_enough_seats, very early departure","Airbus A321, Airbus A320",,3706HUuHSnNfSn9ywhEPg1phfXC,3CEAlG4CeJmUUcHPGX2flJBH8wV,2026-11-13T00:27:00Z,2026-11-13T11:13:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA1476, AA3195",economy,1,CLT,AA,3,True,True,00:27,11:13,466,22500,18.1,USD,18.1,cache:2026-06-11,337.5,355.6,50.0,38.83,100.0,0,6.0,538.43,False,440.0,very early departure,"Airbus A321, Airbus A320","T, T",35zzd6MSqY7QnV4ShnqZZEhwY9H,376yi0yeAujWxbDQU9leVCy3u1G,2026-11-13T00:27:00Z,2026-11-13T11:13:00Z
american,american,True,2.0,"AA1476, AA3195",economy,1,CLT,"AA, AA",0,False,True,00:27,11:13,466,23500,5.6,USD,5.6,cache:2026-06-11,470.0,475.6,50.0,38.83,100.0,0,0.0,664.43,False,440.0,"default_cpp, not_enough_seats, very early departure","Airbus A321, Airbus A320",,3706HUuHSnNfSn9ywhEPg1phfXC,3CEAlAVoy3Mrxx43aP9tfSJoFnm,2026-11-13T00:27:00Z,2026-11-13T11:13:00Z
united,United MileagePlus,False,1.2,"UA604, UA4064",economy,1,IAH,"UA, UA",9,True,True,00:45,13:45,600,36800,5.6,USD,5.6,cache:2026-06-11,441.6,447.2,50.0,50.0,100.0,0,18.0,629.2,True,440.0,"very early departure, expensive","Boeing 777, Embraer E175","YN, YN",36q7UWaVTqZA5jaHJ7d0VeCWVLZ,3E3MWAyzENOgZnMsu2VyEgvB05u,2026-11-13T00:45:00Z,2026-11-13T13:45:00Z
united,United MileagePlus,False,1.2,"UA2847, UA5756",economy,1,ORD,"UA, UA",9,True,True,00:50,13:00,550,26700,5.6,USD,5.6,cache:2026-06-11,320.4,326.0,50.0,45.83,100.0,0,18.0,503.83,False,440.0,very early departure,"Airbus A321neo, Embraer E175","YN, YN",36q7UWaVTqZA5jaHJ7d0VeCWVLZ,3E3MW7XJ2dpl8xDbaLWG5r1mPwR,2026-11-13T00:50:00Z,2026-11-13T13:00:00Z
united,United MileagePlus,False,1.2,"UA1479, UA1915",economy,1,DEN,"UA, UA",9,True,True,05:00,15:14,434,26700,5.6,USD,5.6,cache:2026-06-11,320.4,326.0,50.0,36.17,100.0,0,18.0,494.17,False,440.0,very early departure,"Boeing 757-300, Airbus A320","YN, YN",36q7UWaVTqZA5jaHJ7d0VeCWVLZ,3E3MWCQkiF953AIzBiPNCz9jeZ7,2026-11-13T05:00:00Z,2026-11-13T15:14:00Z
united,United MileagePlus,False,1.2,"UA2168, UA393",economy,1,IAH,"UA, UA",9,True,True,05:00,15:43,463,35200,5.6,USD,5.6,cache:2026-06-11,422.4,428.0,50.0,38.58,100.0,0,18.0,598.58,False,440.0,very early departure,"Boeing 737 MAX 9, Airbus A319","YN, YN",36q7UWaVTqZA5jaHJ7d0VeCWVLZ,3E3MWA3FK13IV00D4FIXYtENuAV,2026-11-13T05:00:00Z,2026-11-13T15:43:00Z
united,United MileagePlus,False,1.2,"UA2343, UA1215",economy,1,ORD,"UA, UA",9,True,True,05:20,16:57,517,23600,5.6,USD,5.6,cache:2026-06-11,283.2,288.8,50.0,43.08,100.0,0,18.0,463.88,False,440.0,very early departure,"Airbus A321neo, Airbus A319","YN, YN",36q7UWaVTqZA5jaHJ7d0VeCWVLZ,3E3MW8q9oX7qWUwl8sqKlP6bTJr,2026-11-13T05:20:00Z,2026-11-13T16:57:00Z
united,United MileagePlus,False,1.2,"UA2343, UA5882",economy,1,ORD,"UA, UA",9,True,True,05:20,15:16,416,26700,5.6,USD,5.6,cache:2026-06-11,320.4,326.0,50.0,34.67,100.0,0,18.0,492.67,False,440.0,very early departure,"Airbus A321neo, Embraer E175","YN, YN",36q7UWaVTqZA5jaHJ7d0VeCWVLZ,3E3MWA4dk244wJqu123HbZM0i1D,2026-11-13T05:20:00Z,2026-11-13T15:16:00Z
american,american,True,2.0,"AA2614, AA6246",business,1,ORD,"AA, AA",0,False,True,06:00,18:47,587,130000,5.6,USD,5.6,cache:2026-06-11,2600.0,2605.6,50.0,48.92,50.0,0,0.0,2754.52,False,858.8,"default_cpp, not_enough_seats, early departure","Boeing 737-800, Bombardier CRJ700",,3706HUuHSnNfSn9ywhEPg1phfXC,37EhynnNgBH7hGuSbeic0Jm0PBm,2026-11-13T06:00:00Z,2026-11-13T18:47:00Z
